198,2,0,1,3,9895611
292,2,3,1,0,14575634
116,2,3,1,0,5804250
89,2,3,1,0,4466380
78,2,3,1,0,3882577
71,2,3,1,0,3537850
67,2,3,1,0,3353271
64,2,3,1,0,3228318
64,2,3,1,0,3164514
63,2,3,1,0,3153716
64,2,3,1,0,3227787
67,2,3,1,0,3324085
70,2,3,1,0,3522362
77,2,3,1,0,3833545
88,2,3,1,0,4422299
113,2,3,1,0,5635267
336,2,3,1,0,16814599
176,1,3,2,0,8762181
104,1,3,2,0,5216235
85,1,3,2,0,4245330
75,1,3,2,0,3739632
69,1,3,2,0,3468383
66,1,3,2,0,3290977
64,1,3,2,0,3205648
63,1,3,2,0,3149284
63,1,3,2,0,3179966
66,1,3,2,0,3251075
67,1,3,2,0,3391675
72,1,3,2,0,3606304
81,1,3,2,0,4002329
93,1,3,2,0,4697783
129,1,3,2,0,6444198
335,1,3,2,3,16713166
148,1,0,2,3,7429922
99,1,0,2,3,4956656
83,1,0,2,3,4131290
74,1,0,2,3,3683244
68,1,0,2,3,3439746
66,1,0,2,3,3273486
64,1,0,2,3,3195204
63,1,0,2,3,3161030
64,1,0,2,3,3181347
65,1,0,2,3,3274693
68,1,0,2,3,3408826
74,1,0,2,3,3665464
82,1,0,2,3,4103269
98,1,0,2,3,4917010
144,1,0,2,3,7178999
358,1,0,1,3,17937868
125,2,0,1,3,6220687
92,2,0,1,3,4630325
80,2,0,1,3,3967448
72,2,0,1,3,3588248
67,2,0,1,3,3362616
65,2,0,1,3,3249386
63,2,0,1,3,3173513
64,2,0,1,3,3166211
64,2,0,1,3,3217911
66,2,0,1,3,3314427
70,2,0,1,3,3500050
76,2,0,1,3,3788618
86,2,0,1,3,4303492
107,2,0,1,3,5367790
206,2,0,1,3,10264882
280,2,3,1,0,14013577
117,2,3,1,0,5846761
90,2,3,1,0,4491130
78,2,3,1,0,3898826
71,2,3,1,0,3553717
67,2,3,1,0,3354971
65,2,3,1,0,3236588
63,2,3,1,0,3175188
63,2,3,1,0,3165104
65,2,3,1,0,3234424
67,2,3,1,0,3332349
70,2,3,1,0,3536637
78,2,3,1,0,3854970
88,2,3,1,0,4443265
114,2,3,1,0,5688401
326,2,3,1,0,16293984
181,1,3,2,0,9043724
105,1,3,2,0,5249140
85,1,3,2,0,4267160
76,1,3,2,0,3763136
69,1,3,2,0,3477518
66,1,3,2,0,3301208
64,1,3,2,0,3215856
64,1,3,2,0,3165600
64,1,3,2,0,3187646
65,1,3,2,0,3262537
68,1,3,2,0,3400973
72,1,3,2,0,3627316
81,1,3,2,0,4022568
94,1,3,2,0,4730068
131,1,3,2,0,6550902
325,1,3,2,3,16207011
152,1,0,2,3,7598553
100,1,0,2,3,5002342
83,1,0,2,3,4157316
74,1,0,2,3,3703534
69,1,0,2,3,3449854
65,1,0,2,3,3284920
65,1,0,2,3,3208854
63,1,0,2,3,3174276
64,1,0,2,3,3188860
66,1,0,2,3,3284954
68,1,0,2,3,3424058
74,1,0,2,3,3684820
82,1,0,2,3,4122656
99,1,0,2,3,4949759
146,1,0,2,3,7305719
352,1,0,1,3,17558298
125,2,0,1,3,6289578
94,2,0,1,3,4663628
79,2,0,1,3,3990736
72,2,0,1,3,3596667
68,2,0,1,3,3375925
65,2,0,1,3,3259899
64,2,0,1,3,3185702
63,2,0,1,3,3172549
65,2,0,1,3,3224752
66,2,0,1,3,3324464
71,2,0,1,3,3515270
76,2,0,1,3,3799060
86,2,0,1,3,4325876
108,2,0,1,3,5412203
215,2,0,1,3,10737721
267,2,3,1,0,13326930
117,2,3,1,0,5890636
91,2,3,1,0,4514674
78,2,3,1,0,3912317
71,2,3,1,0,3557779
67,2,3,1,0,3366998
65,2,3,1,0,3245584
64,2,3,1,0,3182864
63,2,3,1,0,3167949
65,2,3,1,0,3238722
67,2,3,1,0,3342753
71,2,3,1,0,3545856
77,2,3,1,0,3858931
89,2,3,1,0,4453253
114,2,3,1,0,5716186
322,2,3,1,0,16074690
183,1,3,2,0,9161944
106,1,3,2,0,5273313
85,1,3,2,0,4280650
76,1,3,2,0,3762801
69,1,3,2,0,3483500
66,1,3,2,0,3306645
65,1,3,2,0,3222533
63,1,3,2,0,3164366
64,1,3,2,0,3189623
65,1,3,2,0,3267039
68,1,3,2,0,3408892
73,1,3,2,0,3629038
80,1,3,2,0,4023782
95,1,3,2,0,4745489
132,1,3,2,0,6563085
322,1,3,2,3,16130236
153,1,0,2,3,7617912
100,1,0,2,3,5012390
83,1,0,2,3,4160772
74,1,0,2,3,3699334
69,1,0,2,3,3453385
66,1,0,2,3,3289409
64,1,0,2,3,3209549
63,1,0,2,3,3170545
64,1,0,2,3,3190123
66,1,0,2,3,3284480
69,1,0,2,3,3426213
73,1,0,2,3,3679008
82,1,0,2,3,4119858
99,1,0,2,3,4949845
146,1,0,2,3,7274715
353,1,0,1,3,17637054
125,2,0,1,3,6275382
93,2,0,1,3,4658914
80,2,0,1,3,3981490
72,2,0,1,3,3595183
67,2,0,1,3,3372214
66,2,0,1,3,3259271
63,2,0,1,3,3176596
64,2,0,1,3,3172292
64,2,0,1,3,3220258
66,2,0,1,3,3322671
70,2,0,1,3,3504817
76,2,0,1,3,3793451
87,2,0,1,3,4319553
107,2,0,1,3,5385611
210,2,0,1,3,10461619
274,2,3,1,0,13720300
118,2,3,1,0,5870239
89,2,3,1,0,4497077
78,2,3,1,0,3900120
71,2,3,1,0,3551346
68,2,3,1,0,3367170
65,2,3,1,0,3237021
63,2,3,1,0,3175093
63,2,3,1,0,3164354
65,2,3,1,0,3233828
67,2,3,1,0,3335226
70,2,3,1,0,3535396
77,2,3,1,0,3850658
89,2,3,1,0,4443384
114,2,3,1,0,5677490
328,2,3,1,0,16400012
180,1,3,2,0,8981132
104,1,3,2,0,5248100
86,1,3,2,0,4263430
75,1,3,2,0,3757686
69,1,3,2,0,3477175
66,1,3,2,0,3300541
65,1,3,2,0,3211733
63,1,3,2,0,3161079
64,1,3,2,0,3184935
65,1,3,2,0,3261465
68,1,3,2,0,3398056
72,1,3,2,0,3622270
81,1,3,2,0,4017828
94,1,3,2,0,4722720
130,1,3,2,0,6515452
328,1,3,2,3,16363168
150,1,0,2,3,7539893
100,1,0,2,3,4985631
83,1,0,2,3,4145258
74,1,0,2,3,3696228
69,1,0,2,3,3446308
65,1,0,2,3,3279992
65,1,0,2,3,3202304
63,1,0,2,3,3167534
64,1,0,2,3,3185655
65,1,0,2,3,3279069
68,1,0,2,3,3414817
74,1,0,2,3,3675397
82,1,0,2,3,4112332
99,1,0,2,3,4926515
145,1,0,2,3,7238048
355,1,0,1,3,17771175
125,2,0,1,3,6248354
93,2,0,1,3,4640159
